소재지(위치),대여 방식 별 대여소의 개수의 합

종로구,40
종로구,24
종로구,16
종로구,32
종로구,22
종로구,51
종로구,26
종로구,20
종로구,16
종로구,33
종로구,20
종로구,22
종로구,16
종로구,20
종로구,20
종로구,10
종로구,36
종로구,20
종로구,16
종로구,18
종로구,37
종로구,18
종로구,20
종로구,18
종로구,14
종로구,5
종로구,5
종로구,10
종로구,8
종로구,10
종로구,30
종로구,30
종로구,13
종로구,8
종로구,10
종로구,10
종로구,13
종로구,16
종로구,21
종로구,15
종로구,24
종로구,10
종로구,10
종로구,12
종로구,15
종로구,8
종로구,13
종로구,13
종로구,6
종로구,10
종로구,51
종로구,8
종로구,13
종로구,10
종로구,26
종로구,8
종로구,10
종로구,10
종로구,21
종로구,10
종로구,10
종로구,10
종로구,5
종로구,5
종로구,10
종로구,10
종로구,10
종로구,12
종로구,18
종로구,13
종로구,10
종로구,10
종로구,15
종로구,22
종로구,10
종로구,15
종로구,15
종로구,12
종로구,10
종로구,14
종로구,10
종로구,10
종로구,23
종로구,20
종로구,7
종로구,10
종로구,8
종로구,10
종로구,10
종로구,8
종로구,10
종로구,15
종로구,8
종로구,5
종로구,6
종로구,8
종로구,10
종로구,6
종로구,5
종로구,7
종로구,15
종로구,10
종로구,15
중구,13
중구,21
중구,20
중구,37
중구,15
중구,20
중구,18
중구,20
중구,10
중구,18
중구,20
중구,36
중구,24
중구,20
중구,10
중구,12
중구,7
중구,8
중구,15
중구,7
중구,22
중구,10
중구,10
중구,10
중구,12
중구,8
중구,8
중구,15
중구,10
중구,8
중구,6
중구,25
중구,12
중구,10
중구,10
중구,20
중구,15
중구,13
중구,9
중구,15
중구,13
중구,11
중구,10
중구,11
중구,13
중구,10
중구,12
중구,20
중구,40
중구,21
중구,10
중구,10
중구,10
중구,8
중구,16
중구,12
중구,12
중구,10
중구,7
중구,10
중구,10
중구,10
중구,10
중구,20
중구,23
중구,12
중구,10
중구,9
중구,10
중구,10
중구,10
중구,8
중구,10
중구,10
중구,10
중구,10
중구,8
중구,10
중구,10
중구,10
중구,8
중구,10
중구,13
중구,10
중구,5
중구,5
중구,5
중구,5
용산구,15
용산구,9
용산구,10
용산구,9
용산구,20
용산구,20
용산구,20
용산구,20
용산구,10
용산구,40
용산구,10
용산구,40
용산구,60
용산구,25
용산구,9
용산구,12
용산구,12
용산구,10
용산구,20
용산구,20
용산구,15
용산구,14
용산구,7
용산구,40
용산구,10
용산구,10
용산구,20
용산구,15
용산구,10
용산구,15
용산구,10
용산구,8
용산구,10
용산구,10
용산구,30
용산구,29
용산구,15
용산구,16
용산구,15
용산구,10
용산구,20
용산구,15
용산구,10
용산구,30
용산구,19
용산구,10
용산구,10
용산구,10
용산구,10
용산구,10
용산구,22
용산구,10
용산구,10
용산구,10
용산구,10
용산구,10
용산구,10
용산구,10
용산구,10
용산구,10
용산구,15
용산구,10
용산구,10
용산구,10
