
region, population, area(㎢)

종로구, 152211, 23.91
중구, 130785, 9.96
용산구, 233284, 21.87
성동구, 288234, 16.86
광진구, 351252, 17.06
동대문구, 353601, 14.22
중랑구, 390140, 18.50
성북구, 441984, 24.58
강북구, 297702, 23.60
도봉구, 313989, 20.65
노원구, 508014, 35.44
은평구, 470602, 29.71
서대문구, 319554, 17.63
마포구, 375585, 23.85
양천구, 444010, 17.41
강서구, 574638, 41.45
구로구, 418418, 20.12
금천구, 242818, 13.02
영등포구, 398085, 24.55
동작구, 390432, 16.36
관악구, 501226, 29.57
서초구, 408451, 46.98
강남구, 534103, 39.50
송파구, 664514, 33.88
강동구, 464037, 24.59
